"gene_symbol","f_stat","p_value","padj","is_significant","fraction"
"Dctn6",0.437613834976343,0.81780716990106,0.846627194088217,FALSE,"Cellular"
"Nup188",0.437938465254896,0.81757850101476,0.846627194088217,FALSE,"Cellular"
"Amot",0.437579435024076,0.817831398290746,0.846627194088217,FALSE,"Cellular"
"Nkiras2",0.437872752376476,0.817624792970299,0.846627194088217,FALSE,"Cellular"
"Arhgap42",0.432677947142462,0.821277873887941,0.850034968116698,FALSE,"Cellular"
"Dnaaf5",0.432280486285772,0.821556841472154,0.850163657898345,FALSE,"Cellular"
"Abcf2",0.429143395461349,0.823755941626608,0.852278917399904,FALSE,"Cellular"
"Lrp6",0.424359354704673,0.827099916825848,0.855577675015713,FALSE,"Cellular"
"Ppp3r1",0.423710900910558,0.827552255695585,0.855884556398481,FALSE,"Cellular"
"Borcs7",0.422550847701621,0.828360908504746,0.856559765837708,FALSE,"Cellular"
"Fam171a1",0.419814642310136,0.830265382534123,0.858367633165214,FALSE,"Cellular"
"Gcc1",0.41702178533269,0.832205018394216,0.860211165845347,FALSE,"Cellular"
"Pds5a",0.415344942998526,0.833367465132732,0.861243172705749,FALSE,"Cellular"
"Pum2",0.415129473802924,0.833516719164658,0.861243172705749,FALSE,"Cellular"
"Erg28",0.414818862058412,0.833731830635924,0.861303570995173,FALSE,"Cellular"
"Spen",0.413985783441119,0.834308495967879,0.861737386968138,FALSE,"Cellular"
"Tnpo2",0.413625051246409,0.834558073064299,0.861833261778271,FALSE,"Cellular"
"Sh3gl2",0.41206660277113,0.835635427628046,0.862783771098403,FALSE,"Cellular"
"Sf3b4",0.411456165021809,0.83605703152738,0.863056995744938,FALSE,"Cellular"
"Hirip3",0.411002411683026,0.836370276191185,0.863218280176298,FALSE,"Cellular"
"Las1l",0.408655540734363,0.83798844054267,0.864726059704129,FALSE,"Cellular"
"Gcfc2",0.40667249774195,0.839353126535529,0.865971756369363,FALSE,"Cellular"
"Nmnat3",0.405687488731062,0.840030082196752,0.866507578220965,FALSE,"Cellular"
"Lrrfip2",0.404598099378845,0.840778066008316,0.866953827253136,FALSE,"Cellular"
"Ddx18",0.404703989374279,0.840705393869429,0.866953827253136,FALSE,"Cellular"
"Egln1",0.403406101938872,0.841595641378193,0.867634133939116,FALSE,"Cellular"
"Ercc1",0.40184816309252,0.842662841597591,0.868571485396242,FALSE,"Cellular"
"Pgm5",0.400136554501914,0.84383349549603,0.869615099950735,FALSE,"Cellular"
"Sgtb",0.399551571069405,0.844233155157169,0.869856902037343,FALSE,"Cellular"
"Tle1",0.399329879555351,0.844384555506238,0.869856902037343,FALSE,"Cellular"
"Hmgcl",0.398996221791786,0.844612360024028,0.869928579133029,FALSE,"Cellular"
"Mapkapk2",0.397923668137599,0.845344144423483,0.870519218213207,FALSE,"Cellular"
"Ints7",0.395900376420042,0.846722502199169,0.87177534027922,FALSE,"Cellular"
"Dennd4c",0.395075755599418,0.847283476068887,0.872189580870013,FALSE,"Cellular"
"Ensa",0.392529534732502,0.84901267356535,0.873806005103387,FALSE,"Cellular"
"Cntn4",0.39142762971887,0.849759605464992,0.874303637594856,FALSE,"Cellular"
"Znf592",0.391346995211534,0.849814230503258,0.874303637594856,FALSE,"Cellular"
"Kif4",0.389619903393424,0.850983127212836,0.87534241972239,FALSE,"Cellular"
"Map1s",0.388666110777011,0.851627743614719,0.875841626336274,FALSE,"Cellular"
"Sema5a",0.382541251204327,0.855751400410663,0.87991793518942,FALSE,"Cellular"
"Hbs1l",0.381818597822378,0.856236098328663,0.880251695701382,FALSE,"Cellular"
