"GeneID","03-11-2O_young","06-10-2O_old","08-11-2O_young","13-10-2O_young","18-08-2O_old","23-05-2O_old","29-09-2O_old","30-06-2O_young"
"ENSMUSG00000001655",2,0,2,1,8,1,3,0
"ENSMUSG00000001656",11,7,24,13,23,15,15,15
"ENSMUSG00000001657",1256.91,905.042,1885.03,1794.265,1492.259,2258.246,1481.156,1759.545
"ENSMUSG00000001661",1324,1388.415,1889.849,1725,1915.93,2061,1671,1950.683
"ENSMUSG00000001663",581.999,941,1075.097,808,1154,2233.761,1908,1137.711
"ENSMUSG00000001665",127.254,195.593,192.918,194.001,213,404.001,256.001,142.001
"ENSMUSG00000001666",673.887,879.965,789,548,1179.017,865,582,668
"ENSMUSG00000001670",1,1,0,1,0,5,0,1
"ENSMUSG00000001672",55,50,54,63,84,178,63.999,19
"ENSMUSG00000001674",2067.997,1583.002,2331.553,2580.749,1417,1899.992,2006.923,2411.997
"ENSMUSG00000001687",2782,3834,3472.568,3397.049,4322.394,4999.323,3700.167,3976.324
"ENSMUSG00000001700",513,512,592.904,710,638.999,749.001,792,805
"ENSMUSG00000001707",1064,865.033,1299.05,1141,1022.821,975,1008,1327
"ENSMUSG00000001729",5632.562,5909.962,6138.897,7027.878,5040,6751.232,6120.653,6744.424
"ENSMUSG00000001739",303,507,595,698.01,497,919.999,554,149
"ENSMUSG00000001741",316.972,475.44,349.698,563.923,368.674,1020.338,896.254,268.667
"ENSMUSG00000001750",2920.799,3347.206,3456.627,4515.177,5030.688,4899.103,5955.589,4322.909
"ENSMUSG00000001751",2553.042,3220.005,2614.913,3479.999,2482.171,6000.7,3621.013,3018.743
"ENSMUSG00000001755",2832.03,2846.487,2521.697,4046.778,1697.478,7747.115,3972.953,3357.512
"ENSMUSG00000001761",3468.103,2730.744,3744.053,4215.264,2163.15,4415.271,3363.825,4708.825
"ENSMUSG00000001763",122.001,70,123.999,210,59,66,47,176
"ENSMUSG00000001767",1731.353,1231.999,1915.924,2287,1168,1642,1514,2353
"ENSMUSG00000001768",1452.379,2350.063,1949.014,1900.349,2795.011,4230.69,4104.239,2397.294
"ENSMUSG00000001773",0,0,2,0,0,2,0,8
"ENSMUSG00000001774",2318.521,2449.609,2944.081,3115.014,3325.276,2844.088,3058.924,4002.723
"ENSMUSG00000001783",4132.188,3673.785,4247.993,4576.827,2661,3970.619,4321.629,4376
"ENSMUSG00000001785",1369,915,1264.568,1527.001,812.001,1288.415,1608,1614.048
"ENSMUSG00000001786",805,877,813.124,931.82,994,1163.941,898,1085.999
"ENSMUSG00000001794",10261.098,13650.342,14741.182,11618.647,15401.224,14234.698,13234.403,14198.43
